Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image URL,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Collection
anode-soundbar,Anode Studio Soundbar,"<p>3-channel soundbar with Dolby Atmos support, room calibration, and multiple connectivity options including HDMI eARC and Bluetooth.</p>",Anode Studio,,Audio,"soundbar,dolby,atmos,home-theater,audio",TRUE,Color,Black,,,,,ANODE-SOUNDBAR-BLK,shopify,0,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-soundbar-black.jpg,2,Anode Studio Soundbar in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-soundbar-black.jpg,kg,,167.58,active,Listen & Home
anode-soundbar,Anode Studio Soundbar,"<p>3-channel soundbar with Dolby Atmos support, room calibration, and multiple connectivity options including HDMI eARC and Bluetooth.</p>",Anode Studio,,Audio,"soundbar,dolby,atmos,home-theater,audio",TRUE,Color,Blue,,,,,ANODE-SOUNDBAR-BLU,shopify,5,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-soundbar-blue.jpg,3,Anode Studio Soundbar in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-soundbar-blue.jpg,kg,,167.58,active,Listen & Home
anode-wallet,Anode Leather Wallet,"<p>Slim RFID-blocking leather wallet with 8 card slots, hidden cash pocket, and minimalist design. Handcrafted from full-grain Italian leather that ages beautifully.</p>",Anode Studio,,Accessories,"wallet,leather,minimalist,rfid",TRUE,Color,Black,,,,,ANODE-WALLET-BLK,shopify,50,deny,manual,89.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wallet-black.jpg,1,Anode Leather Wallet in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wallet-black.jpg,kg,,37.38,active,Accessories
anode-wallet,Anode Leather Wallet,"<p>Slim RFID-blocking leather wallet with 8 card slots, hidden cash pocket, and minimalist design. Handcrafted from full-grain Italian leather that ages beautifully.</p>",Anode Studio,,Accessories,"wallet,leather,minimalist,rfid",TRUE,Color,Blue,,,,,ANODE-WALLET-BLU,shopify,5,deny,manual,89.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wallet-blue.jpg,2,Anode Leather Wallet in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wallet-blue.jpg,kg,,37.38,active,Accessories
anode-wallet,Anode Leather Wallet,"<p>Slim RFID-blocking leather wallet with 8 card slots, hidden cash pocket, and minimalist design. Handcrafted from full-grain Italian leather that ages beautifully.</p>",Anode Studio,,Accessories,"wallet,leather,minimalist,rfid",TRUE,Color,Yellow,,,,,ANODE-WALLET-YLW,shopify,0,deny,manual,89.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wallet-yellow.jpg,3,Anode Leather Wallet in Yellow,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wallet-yellow.jpg,kg,,37.38,active,Accessories
anode-passport-holder,Anode Passport Holder,"<p>Elegant passport holder with RFID blocking, dedicated card slots, and pen loop. Made from premium vegetable-tanned leather.</p>",Anode Studio,,Accessories,"passport,travel,leather,rfid",TRUE,Color,Tan,,,,,ANODE-PASSPORT-HOLDER-TAN,shopify,2,deny,manual,49.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-passport-holder-tan.jpg,1,Anode Passport Holder in Tan,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-passport-holder-tan.jpg,kg,,20.58,active,Accessories
anode-passport-holder,Anode Passport Holder,"<p>Elegant passport holder with RFID blocking, dedicated card slots, and pen loop. Made from premium vegetable-tanned leather.</p>",Anode Studio,,Accessories,"passport,travel,leather,rfid",TRUE,Color,Black,,,,,ANODE-PASSPORT-HOLDER-BLK,shopify,86,deny,manual,49.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-passport-holder-black.jpg,2,Anode Passport Holder in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-passport-holder-black.jpg,kg,,20.58,active,Accessories
anode-passport-holder,Anode Passport Holder,"<p>Elegant passport holder with RFID blocking, dedicated card slots, and pen loop. Made from premium vegetable-tanned leather.</p>",Anode Studio,,Accessories,"passport,travel,leather,rfid",TRUE,Color,Blue,,,,,ANODE-PASSPORT-HOLDER-BLU,shopify,0,deny,manual,49.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-passport-holder-blue.jpg,3,Anode Passport Holder in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-passport-holder-blue.jpg,kg,,20.58,active,Accessories
anode-phone-stand,Anode Aluminum Phone Stand,"<p>Precision-machined aluminum phone stand with adjustable viewing angle, cable management, and universal compatibility with all smartphones.</p>",Anode Studio,,Accessories,"stand,aluminum,desk,phone",TRUE,Color,Graphite,,,,,ANODE-PHONE-STAND-GRP,shopify,0,deny,manual,39.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-phone-stand-graphite.jpg,1,Anode Aluminum Phone Stand in Graphite,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-phone-stand-graphite.jpg,kg,,16.38,active,Phone
anode-phone-stand,Anode Aluminum Phone Stand,"<p>Precision-machined aluminum phone stand with adjustable viewing angle, cable management, and universal compatibility with all smartphones.</p>",Anode Studio,,Accessories,"stand,aluminum,desk,phone",TRUE,Color,Silver,,,,,ANODE-PHONE-STAND-SLV,shopify,3,deny,manual,39.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-phone-stand-silver.jpg,2,Anode Aluminum Phone Stand in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-phone-stand-silver.jpg,kg,,16.38,active,Phone
anode-phone-stand,Anode Aluminum Phone Stand,"<p>Precision-machined aluminum phone stand with adjustable viewing angle, cable management, and universal compatibility with all smartphones.</p>",Anode Studio,,Accessories,"stand,aluminum,desk,phone",TRUE,Color,Blue,,,,,ANODE-PHONE-STAND-BLU,shopify,63,deny,manual,39.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-phone-stand-blue.jpg,3,Anode Aluminum Phone Stand in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-phone-stand-blue.jpg,kg,,16.38,active,Phone
anode-portfolio,Anode Leather Portfolio,"<p>Premium leather portfolio with writing pad, elastic band closure, pen loop, and card slots. Professional design for meetings and presentations.</p>",Anode Studio,,Accessories,"portfolio,leather,office,professional",TRUE,Color,Tan,,,,,ANODE-PORTFOLIO-TAN,shopify,2,deny,manual,79.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-portfolio-tan.jpg,1,Anode Leather Portfolio in Tan,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-portfolio-tan.jpg,kg,,33.18,active,Accessories
anode-portfolio,Anode Leather Portfolio,"<p>Premium leather portfolio with writing pad, elastic band closure, pen loop, and card slots. Professional design for meetings and presentations.</p>",Anode Studio,,Accessories,"portfolio,leather,office,professional",TRUE,Color,Black,,,,,ANODE-PORTFOLIO-BLK,shopify,0,deny,manual,79.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-portfolio-black.jpg,2,Anode Leather Portfolio in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-portfolio-black.jpg,kg,,33.18,active,Accessories
anode-portfolio,Anode Leather Portfolio,"<p>Premium leather portfolio with writing pad, elastic band closure, pen loop, and card slots. Professional design for meetings and presentations.</p>",Anode Studio,,Accessories,"portfolio,leather,office,professional",TRUE,Color,Blue,,,,,ANODE-PORTFOLIO-BLU,shopify,85,deny,manual,79.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-portfolio-blue.jpg,3,Anode Leather Portfolio in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-portfolio-blue.jpg,kg,,33.18,active,Accessories
anode-watch,Anode Smart Watch,"<p>Elegant smartwatch with always-on Retina display, heart rate monitoring, GPS, and 7-day battery life. Customizable faces and premium build quality.</p>",Anode Studio,,Wearables,"smartwatch,wearable,fitness,gps,bestseller",TRUE,Color,Black,,,,,ANODE-WATCH-BLK,shopify,2,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-watch-black.jpg,1,Anode Smart Watch in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-watch-black.jpg,kg,,167.58,active,Watch
anode-watch,Anode Smart Watch,"<p>Elegant smartwatch with always-on Retina display, heart rate monitoring, GPS, and 7-day battery life. Customizable faces and premium build quality.</p>",Anode Studio,,Wearables,"smartwatch,wearable,fitness,gps,bestseller",TRUE,Color,Silver,,,,,ANODE-WATCH-SLV,shopify,86,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-watch-silver.jpg,2,Anode Smart Watch in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-watch-silver.jpg,kg,,167.58,active,Watch
anode-watch,Anode Smart Watch,"<p>Elegant smartwatch with always-on Retina display, heart rate monitoring, GPS, and 7-day battery life. Customizable faces and premium build quality.</p>",Anode Studio,,Wearables,"smartwatch,wearable,fitness,gps,bestseller",TRUE,Color,Blue,,,,,ANODE-WATCH-BLU,shopify,0,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-watch-blue.jpg,3,Anode Smart Watch in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-watch-blue.jpg,kg,,167.58,active,Watch
anode-fitness-tracker,Anode Fitness Tracker,"<p>Slim fitness tracker with continuous heart rate, SpO2 monitoring, sleep tracking, and 14-day battery life. Water-resistant to 50 meters.</p>",Anode Studio,,Wearables,"fitness,tracker,health,wearable",TRUE,Color,Silver,,,,,ANODE-FITNESS-TRACKER-SLV,shopify,22,deny,manual,149.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-fitness-tracker-silver.jpg,1,Anode Fitness Tracker in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-fitness-tracker-silver.jpg,kg,,62.58,active,Watch
anode-fitness-tracker,Anode Fitness Tracker,"<p>Slim fitness tracker with continuous heart rate, SpO2 monitoring, sleep tracking, and 14-day battery life. Water-resistant to 50 meters.</p>",Anode Studio,,Wearables,"fitness,tracker,health,wearable",TRUE,Color,Black,,,,,ANODE-FITNESS-TRACKER-BLK,shopify,0,deny,manual,149.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-fitness-tracker-black.jpg,2,Anode Fitness Tracker in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-fitness-tracker-black.jpg,kg,,62.58,active,Watch
anode-fitness-tracker,Anode Fitness Tracker,"<p>Slim fitness tracker with continuous heart rate, SpO2 monitoring, sleep tracking, and 14-day battery life. Water-resistant to 50 meters.</p>",Anode Studio,,Wearables,"fitness,tracker,health,wearable",TRUE,Color,Blue,,,,,ANODE-FITNESS-TRACKER-BLU,shopify,1,deny,manual,149.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-fitness-tracker-blue.jpg,3,Anode Fitness Tracker in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-fitness-tracker-blue.jpg,kg,,62.58,active,Watch
anode-lamp,Anode Table Lamp,"<p>Minimalist LED table lamp with touch dimming, warm-to-cool color temperature adjustment, and built-in wireless charging pad.</p>",Anode Studio,,Home,"lamp,led,minimalist,wireless-charging",TRUE,Color,Silver,,,,,ANODE-LAMP-SLV,shopify,53,deny,manual,119.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-lamp-silver.jpg,1,Anode Table Lamp in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-lamp-silver.jpg,kg,,49.98,active,Desk
anode-lamp,Anode Table Lamp,"<p>Minimalist LED table lamp with touch dimming, warm-to-cool color temperature adjustment, and built-in wireless charging pad.</p>",Anode Studio,,Home,"lamp,led,minimalist,wireless-charging",TRUE,Color,Black,,,,,ANODE-LAMP-BLK,shopify,0,deny,manual,119.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-lamp-black.jpg,2,Anode Table Lamp in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-lamp-black.jpg,kg,,49.98,active,Desk
anode-lamp,Anode Table Lamp,"<p>Minimalist LED table lamp with touch dimming, warm-to-cool color temperature adjustment, and built-in wireless charging pad.</p>",Anode Studio,,Home,"lamp,led,minimalist,wireless-charging",TRUE,Color,Blue,,,,,ANODE-LAMP-BLU,shopify,1,deny,manual,119.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-lamp-blue.jpg,3,Anode Table Lamp in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-lamp-blue.jpg,kg,,49.98,active,Desk
anode-desk-lamp,Anode Desk Lamp,"<p>Professional desk lamp with multi-axis articulation, flicker-free LED, daylight simulation mode, and memory function for brightness settings.</p>",Anode Studio,,Home,"lamp,desk,led,office",TRUE,Color,Silver,,,,,ANODE-DESK-LAMP-SLV,shopify,55,deny,manual,199.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-desk-lamp-silver.jpg,1,Anode Desk Lamp in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-desk-lamp-silver.jpg,kg,,83.58,active,Desk
anode-desk-lamp,Anode Desk Lamp,"<p>Professional desk lamp with multi-axis articulation, flicker-free LED, daylight simulation mode, and memory function for brightness settings.</p>",Anode Studio,,Home,"lamp,desk,led,office",TRUE,Color,Black,,,,,ANODE-DESK-LAMP-BLK,shopify,2,deny,manual,199.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-desk-lamp-black.jpg,2,Anode Desk Lamp in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-desk-lamp-black.jpg,kg,,83.58,active,Desk
anode-desk-lamp,Anode Desk Lamp,"<p>Professional desk lamp with multi-axis articulation, flicker-free LED, daylight simulation mode, and memory function for brightness settings.</p>",Anode Studio,,Home,"lamp,desk,led,office",TRUE,Color,Blue,,,,,ANODE-DESK-LAMP-BLU,shopify,0,deny,manual,199.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-desk-lamp-blue.jpg,3,Anode Desk Lamp in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-desk-lamp-blue.jpg,kg,,83.58,active,Desk
anode-smart-lamp,Anode Smart LED Lamp,"<p>Wi-Fi enabled smart lamp with millions of colors, music sync, scheduling, and voice control via major smart home assistants.</p>",Anode Studio,,Home,"smart,led,colorful,homekit",TRUE,Color,Silver,,,,,ANODE-SMART-LAMP-SLV,shopify,2,deny,manual,89.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-smart-lamp-silver.jpg,1,Anode Smart LED Lamp in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-smart-lamp-silver.jpg,kg,,37.38,active,Desk
anode-smart-lamp,Anode Smart LED Lamp,"<p>Wi-Fi enabled smart lamp with millions of colors, music sync, scheduling, and voice control via major smart home assistants.</p>",Anode Studio,,Home,"smart,led,colorful,homekit",TRUE,Color,Black,,,,,ANODE-SMART-LAMP-BLK,shopify,0,deny,manual,89.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-smart-lamp-black.jpg,2,Anode Smart LED Lamp in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-smart-lamp-black.jpg,kg,,37.38,active,Desk
anode-smart-lamp,Anode Smart LED Lamp,"<p>Wi-Fi enabled smart lamp with millions of colors, music sync, scheduling, and voice control via major smart home assistants.</p>",Anode Studio,,Home,"smart,led,colorful,homekit",TRUE,Color,Blue,,,,,ANODE-SMART-LAMP-BLU,shopify,61,deny,manual,89.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-smart-lamp-blue.jpg,3,Anode Smart LED Lamp in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-smart-lamp-blue.jpg,kg,,37.38,active,Desk
anode-case,Anode Phone Case,"<p>Magnetic wireless compatible phone case with military-grade drop protection, anti-scratch coating, and slim profile. Supports wireless charging.</p>",Anode Studio,,Accessories,"case,phone,protective,bestseller",TRUE,Color,Clear,,,,,ANODE-CASE-CLR,shopify,61,deny,manual,49.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-case-clear.jpg,1,Anode Phone Case in Clear,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-case-clear.jpg,kg,,20.58,active,Phone
anode-case,Anode Phone Case,"<p>Magnetic wireless compatible phone case with military-grade drop protection, anti-scratch coating, and slim profile. Supports wireless charging.</p>",Anode Studio,,Accessories,"case,phone,protective,bestseller",TRUE,Color,Black,,,,,ANODE-CASE-BLK,shopify,0,deny,manual,49.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-case-black.jpg,2,Anode Phone Case in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-case-black.jpg,kg,,20.58,active,Phone
anode-case,Anode Phone Case,"<p>Magnetic wireless compatible phone case with military-grade drop protection, anti-scratch coating, and slim profile. Supports wireless charging.</p>",Anode Studio,,Accessories,"case,phone,protective,bestseller",TRUE,Color,Blue,,,,,ANODE-CASE-BLU,shopify,5,deny,manual,49.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-case-blue.jpg,3,Anode Phone Case in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-case-blue.jpg,kg,,20.58,active,Phone
anode-wireless-charger,Anode Wireless Charging Pad,"<p>15W fast wireless charging pad with intelligent temperature control, foreign object detection, and non-slip surface.</p>",Anode Studio,,Accessories,"charger,wireless,fast-charging,bestseller",TRUE,Color,Silver,,,,,ANODE-WIRELESS-CHARGER-SLV,shopify,27,deny,manual,39.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wireless-charger-silver.jpg,1,Anode Wireless Charging Pad in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wireless-charger-silver.jpg,kg,,16.38,active,Phone
anode-wireless-charger,Anode Wireless Charging Pad,"<p>15W fast wireless charging pad with intelligent temperature control, foreign object detection, and non-slip surface.</p>",Anode Studio,,Accessories,"charger,wireless,fast-charging,bestseller",TRUE,Color,Black,,,,,ANODE-WIRELESS-CHARGER-BLK,shopify,3,deny,manual,39.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wireless-charger-black.jpg,2,Anode Wireless Charging Pad in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wireless-charger-black.jpg,kg,,16.38,active,Phone
anode-wireless-charger,Anode Wireless Charging Pad,"<p>15W fast wireless charging pad with intelligent temperature control, foreign object detection, and non-slip surface.</p>",Anode Studio,,Accessories,"charger,wireless,fast-charging,bestseller",TRUE,Color,Blue,,,,,ANODE-WIRELESS-CHARGER-BLU,shopify,0,deny,manual,39.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wireless-charger-blue.jpg,3,Anode Wireless Charging Pad in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-wireless-charger-blue.jpg,kg,,16.38,active,Phone
