"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Image","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"macbook-air-13-m3-starlight","MacBook Air 13-inch M3 256GB - Starlight","<p>The MacBook Air 13-inch M3 in Starlight delivers M3 performance in an ultra-portable 13.6-inch Liquid Retina form factor. Lightweight, fanless, and capable of driving two external displays with the lid closed.</p><ul><li>13.6-inch Liquid Retina display with 500 nits</li><li>Apple M3 chip with 8-core CPU and 8-core GPU</li><li>8GB unified memory, 256GB SSD</li><li>MagSafe 3 charging plus two Thunderbolt / USB 4 ports</li><li>Up to 18 hours battery life</li><li>Supports two external displays with lid closed</li><li>1080p FaceTime HD camera</li></ul>","Apple","Electronics > Computers > Laptops","MacBook","macbook, laptop, m3, starlight, apple-silicon","TRUE","Color","Starlight","","","","","MBA13-M3-SL-256","1240","shopify","100","deny","manual","1099.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-air-13-m3-starlight.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-air-13-m3-starlight.jpg","1","MacBook Air 13-inch M3 in Starlight color open laptop view","FALSE","","","Electronics > Computers > Laptops","","","MBA13-M3-SL-256","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"macbook-pro-14-m3-space-black","MacBook Pro 14-inch M3 512GB - Space Black","<p>The MacBook Pro 14-inch M3 in Space Black combines pro performance with a stunning Liquid Retina XDR display. The M3 chip, active cooling, and up to 22 hours of battery life make it a serious workstation in a compact form.</p><ul><li>14.2-inch Liquid Retina XDR display with ProMotion</li><li>Apple M3 chip with 8-core CPU and 10-core GPU</li><li>8GB unified memory, 512GB SSD</li><li>Three Thunderbolt 4 ports, HDMI, SDXC, MagSafe 3</li><li>Up to 22 hours battery life</li><li>Active cooling for sustained performance</li><li>1080p FaceTime HD camera with M3 ISP</li></ul>","Apple","Electronics > Computers > Laptops","MacBook","macbook, laptop, m3, pro, space-black, apple-silicon","TRUE","Color","Space Black","","","","","MBP14-M3-SB-512","1600","shopify","100","deny","manual","1599.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-pro-14-m3-space-black.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-pro-14-m3-space-black.jpg","1","MacBook Pro 14-inch M3 in Space Black open laptop view","FALSE","","","Electronics > Computers > Laptops","","","MBP14-M3-SB-512","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"macbook-pro-16-m3-max-silver","MacBook Pro 16-inch M3 Max 1TB - Silver","<p>The MacBook Pro 16-inch M3 Max in Silver is built for demanding professional workloads. The M3 Max chip, 16-inch Liquid Retina XDR display, and sustained performance from active cooling make it a desktop-class portable.</p><ul><li>16.2-inch Liquid Retina XDR display with ProMotion</li><li>Apple M3 Max chip with 14-core CPU and 30-core GPU</li><li>36GB unified memory, 1TB SSD</li><li>Three Thunderbolt 4 ports, HDMI, SDXC, MagSafe 3</li><li>Up to 22 hours battery life</li><li>Active cooling for sustained pro performance</li><li>1080p FaceTime HD camera with M3 ISP</li></ul>","Apple","Electronics > Computers > Laptops","MacBook","macbook, laptop, m3-max, pro, silver, apple-silicon, workstation","TRUE","Color","Silver","","","","","MBP16-M3MX-SL-1T","2200","shopify","100","deny","manual","3199.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-pro-16-m3-max-silver.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-pro-16-m3-max-silver.jpg","1","MacBook Pro 16-inch M3 Max in Silver open laptop view","FALSE","","","Electronics > Computers > Laptops","","","MBP16-M3MX-SL-1T","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"imac-24-m3-pink","iMac 24-inch M3 256GB - Pink","<p>The iMac 24-inch M3 in Pink brings a vibrant 4.5K Retina display and Apple silicon to a strikingly thin all-in-one design. With a 1080p FaceTime camera, six-speaker sound, and the M3 chip, it handles everyday creativity with ease.</p><ul><li>24-inch 4.5K Retina display with P3 wide color</li><li>Apple M3 chip with 8-core CPU and 10-core GPU</li><li>8GB unified memory, 256GB SSD</li><li>1080p FaceTime HD camera</li><li>Six-speaker sound system with spatial audio</li><li>Four USB-C ports (two Thunderbolt / USB 4)</li><li>Matching pink Magic Keyboard and Magic Mouse</li></ul>","Apple","Electronics > Computers > Desktop Computers","iMac","imac, desktop, m3, pink, all-in-one, apple-silicon","TRUE","Color","Pink","","","","","IMAC24-M3-PK-256","4500","shopify","100","deny","manual","1299.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/imac-24-m3-pink.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/imac-24-m3-pink.jpg","1","iMac 24-inch M3 in Pink color front view with keyboard and mouse","FALSE","","","Electronics > Computers > Desktop Computers","","","IMAC24-M3-PK-256","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"mac-mini-m2-silver","Mac mini M2 256GB - Silver","<p>The Mac mini M2 in Silver delivers Apple silicon performance in a compact square aluminum enclosure. With the M2 chip, two Thunderbolt / USB 4 ports, and a quiet design, it is a flexible desktop for home and office.</p><ul><li>Apple M2 chip with 8-core CPU and 10-core GPU</li><li>8GB unified memory, 256GB SSD</li><li>Two Thunderbolt / USB 4 ports</li><li>Two USB-A ports, HDMI, gigabit Ethernet</li><li>Compact 19.7cm square aluminum enclosure</li><li>Whisper-quiet active cooling</li><li>Supports up to two displays</li></ul>","Apple","Electronics > Computers > Desktop Computers","Mac mini","mac-mini, desktop, m2, silver, apple-silicon, compact","TRUE","Color","Silver","","","","","MACMINI-M2-SL-256","590","shopify","100","deny","manual","599.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/mac-mini-m2-silver.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/mac-mini-m2-silver.jpg","1","Mac mini M2 in Silver color front view","FALSE","","","Electronics > Computers > Desktop Computers","","","MACMINI-M2-SL-256","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"mac-studio-m2-ultra-silver","Mac Studio M2 Ultra 512GB - Silver","<p>The Mac Studio M2 Ultra in Silver packs the M2 Ultra chip into a compact aluminum enclosure designed for professional workflows. With up to 24-core CPU, 76-core GPU, and six Thunderbolt 4 ports, it is a serious content-creation powerhouse.</p><ul><li>Apple M2 Ultra chip with 24-core CPU and 60-core GPU</li><li>64GB unified memory, 512GB SSD</li><li>Six Thunderbolt 4 ports (front and back)</li><li>Two USB-A ports, HDMI, 10 gigabit Ethernet</li><li>Compact 19.7cm square aluminum enclosure</li><li>Supports up to eight displays</li><li>Whisper-quiet active cooling</li></ul>","Apple","Electronics > Computers > Desktop Computers","Mac Studio","mac-studio, desktop, m2-ultra, silver, apple-silicon, workstation","TRUE","Color","Silver","","","","","MACSTUDIO-M2U-SL-512","3600","shopify","100","deny","manual","3999.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/mac-studio-m2-ultra-silver.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/mac-studio-m2-ultra-silver.jpg","1","Mac Studio M2 Ultra in Silver color front view","FALSE","","","Electronics > Computers > Desktop Computers","","","MACSTUDIO-M2U-SL-512","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"mac-pro-m2-ultra-silver","Mac Pro M2 Ultra 512GB - Silver","<p>The Mac Pro M2 Ultra in Silver combines Apple silicon performance with PCIe expansion. The stainless steel frame and aluminum housing offer tool-free access, while the M2 Ultra chip handles demanding pro workloads.</p><ul><li>Apple M2 Ultra chip with 24-core CPU and 76-core GPU</li><li>64GB unified memory, 512GB SSD</li><li>Six Thunderbolt 4 ports and eight PCIe slots</li><li>Stainless steel frame with aluminum housing</li><li>Tool-free access for upgrades</li><li>Supports up to eight displays</li><li>Lattice-pattern ventilation for thermal efficiency</li></ul>","Apple","Electronics > Computers > Desktop Computers","Mac Pro","mac-pro, desktop, m2-ultra, silver, apple-silicon, workstation, pci-e","TRUE","Color","Silver","","","","","MACPRO-M2U-SL-512","17000","shopify","100","deny","manual","6999.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/mac-pro-m2-ultra-silver.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/mac-pro-m2-ultra-silver.jpg","1","Mac Pro M2 Ultra in Silver color tower front view","FALSE","","","Electronics > Computers > Desktop Computers","","","MACPRO-M2U-SL-512","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"ipad-pro-12-9-m2-silver","iPad Pro 12.9-inch M2 256GB - Silver","<p>The iPad Pro 12.9-inch M2 in Silver features the M2 chip, an XDR display with 1600 nits peak brightness, and ProMotion. With Apple Pencil 2 hover support and Wi-Fi 6E, it is a serious creative tool.</p><ul><li>12.9-inch Liquid Retina XDR display with ProMotion</li><li>Apple M2 chip with 8-core CPU and 10-core GPU</li><li>8GB unified memory, 256GB storage</li><li>Apple Pencil 2 with hover support</li><li>Wi-Fi 6E with 2x2 MIMO</li><li>Thunderbolt / USB 4 port</li><li>12MP wide camera with Center Stage</li></ul>","Apple","Electronics > Computers > Tablet Computers","iPad","ipad, tablet, m2, silver, pro, xdr","TRUE","Color","Silver","","","","","IPP129-M2-SL-256","682","shopify","100","deny","manual","1099.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-pro-12-9-m2-silver.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-pro-12-9-m2-silver.jpg","1","iPad Pro 12.9-inch M2 in Silver color front view","FALSE","","","Electronics > Computers > Tablet Computers","","","IPP129-M2-SL-256","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"ipad-pro-11-m2-space-gray","iPad Pro 11-inch M2 128GB - Space Gray","<p>The iPad Pro 11-inch M2 in Space Gray pairs the M2 chip with a Liquid Retina display and ProMotion in a portable 11-inch form. Apple Pencil 2 hover support and a Thunderbolt port round out the pro features.</p><ul><li>11-inch Liquid Retina display with ProMotion</li><li>Apple M2 chip with 8-core CPU and 10-core GPU</li><li>8GB unified memory, 128GB storage</li><li>Apple Pencil 2 with hover support</li><li>Wi-Fi 6E with 2x2 MIMO</li><li>Thunderbolt / USB 4 port</li><li>12MP wide camera with Center Stage</li></ul>","Apple","Electronics > Computers > Tablet Computers","iPad","ipad, tablet, m2, space-gray, pro","TRUE","Color","Space Gray","","","","","IPP11-M2-SG-128","466","shopify","100","deny","manual","799.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-pro-11-m2-space-gray.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-pro-11-m2-space-gray.jpg","1","iPad Pro 11-inch M2 in Space Gray color front view","FALSE","","","Electronics > Computers > Tablet Computers","","","IPP11-M2-SG-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"ipad-air-m2-blue","iPad Air M2 128GB - Blue","<p>The iPad Air M2 in Blue brings the M2 chip to a thin 11-inch Liquid Retina design. Apple Pencil Pro support and a landscape-oriented camera make it a versatile creative and video-call companion.</p><ul><li>11-inch Liquid Retina display with 500 nits</li><li>Apple M2 chip with 8-core CPU and 10-core GPU</li><li>8GB unified memory, 128GB storage</li><li>Apple Pencil Pro support</li><li>Wi-Fi 6E with 2x2 MIMO</li><li>USB-C port with USB 3 speeds</li><li>Landscape-oriented 12MP camera with Center Stage</li></ul>","Apple","Electronics > Computers > Tablet Computers","iPad","ipad, tablet, m2, blue, air","TRUE","Color","Blue","","","","","IPAIR-M2-BL-128","462","shopify","100","deny","manual","599.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-air-m2-blue.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-air-m2-blue.jpg","1","iPad Air M2 in Blue color front view","FALSE","","","Electronics > Computers > Tablet Computers","","","IPAIR-M2-BL-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"ipad-10-blue","iPad 10th generation 64GB - Blue","<p>The iPad 10th generation in Blue offers an all-screen 10.9-inch Liquid Retina design, the A14 Bionic chip, and a USB-C port. A great everyday iPad with a landscape camera and vibrant color options.</p><ul><li>10.9-inch Liquid Retina display</li><li>A14 Bionic chip</li><li>4GB memory, 64GB storage</li><li>USB-C connector</li><li>Wi-Fi 6</li><li>Landscape-oriented 12MP wide camera</li><li>Touch ID in top button</li></ul>","Apple","Electronics > Computers > Tablet Computers","iPad","ipad, tablet, blue, 10th-gen, value","TRUE","Color","Blue","","","","","IPAD10-BL-64","477","shopify","100","deny","manual","449.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-10-blue.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-10-blue.jpg","1","iPad 10th generation in Blue color front view","FALSE","","","Electronics > Computers > Tablet Computers","","","IPAD10-BL-64","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"ipad-mini-6-purple","iPad mini 6 64GB - Purple","<p>The iPad mini 6 in Purple packs the A15 Bionic chip into a compact 8.3-inch design. With USB-C, Apple Pencil 2 support, and a landscape camera, it is a small but capable creative companion.</p><ul><li>8.3-inch Liquid Retina display with True Tone</li><li>A15 Bionic chip</li><li>4GB memory, 64GB storage</li><li>USB-C connector</li><li>Apple Pencil 2 support</li><li>Wi-Fi 6</li><li>Landscape-oriented 12MP camera with Center Stage</li></ul>","Apple","Electronics > Computers > Tablet Computers","iPad","ipad, tablet, purple, mini, compact","TRUE","Color","Purple","","","","","IPMINI6-PP-64","297","shopify","100","deny","manual","499.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-mini-6-purple.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/ipad-mini-6-purple.jpg","1","iPad mini 6 in Purple color front view","FALSE","","","Electronics > Computers > Tablet Computers","","","IPMINI6-PP-64","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
